home_team,avg_attendance
Tampa Bay Lightning,19092
Washington Capitals,18573
Minnesota Wild,18542
Nashville Predators,18495
Chicago Blackhawks,18489
Vegas Golden Knights,18100
Dallas Stars,17896
Boston Bruins,17850
St. Louis Blues,17716
Pittsburgh Penguins,17684
Colorado Avalanche,17498
Vancouver Canucks,17285
Carolina Hurricanes,17210
Seattle Kraken,17151
Detroit Red Wings,16984
New York Islanders,16942
New York Rangers,16839
Philadelphia Flyers,16540
Columbus Blue Jackets,16237
Toronto Maple Leafs,15586
Montreal Canadiens,15495
Edmonton Oilers,14927
Los Angeles Kings,14828
Florida Panthers,14811
Calgary Flames,14284
Anaheim Ducks,13083
New Jersey Devils,12744
Winnipeg Jets,12716
San Jose Sharks,12573
Arizona Coyotes,11601
Buffalo Sabres,9997
Ottawa Senators,9155
